ROC AUC micro,F1 micro,precision micro,recall micro,ROC AUC macro,F1 macro,precision macro,recall macro,ROC AUC weighted,F1 weighted,precision weighted,recall weighted,ROC AUC samples,F1 samples,precision samples,recall samples,ROC AUC - ecosystem_type.Salt_marsh,precision - ecosystem_type.Salt_marsh,recall - ecosystem_type.Salt_marsh,F1 - ecosystem_type.Salt_marsh,accuracy - ecosystem_type.Salt_marsh,n_target - ecosystem_type.Salt_marsh,ROC AUC - ecosystem_type.Mangrove,precision - ecosystem_type.Mangrove,recall - ecosystem_type.Mangrove,F1 - ecosystem_type.Mangrove,accuracy - ecosystem_type.Mangrove,n_target - ecosystem_type.Mangrove,ROC AUC - ecosystem_type.Coral_reef,precision - ecosystem_type.Coral_reef,recall - ecosystem_type.Coral_reef,F1 - ecosystem_type.Coral_reef,accuracy - ecosystem_type.Coral_reef,n_target - ecosystem_type.Coral_reef,ROC AUC - ecosystem_type.Seagrass,precision - ecosystem_type.Seagrass,recall - ecosystem_type.Seagrass,F1 - ecosystem_type.Seagrass,accuracy - ecosystem_type.Seagrass,n_target - ecosystem_type.Seagrass,class_weight,batch_size,weight_decay,learning_rate,num_epochs
0.49840637450199204,0.0,0.0,0.0,0.5226091854494073,0.0,0.0,0.0,0.5550102960435621,0.0,0.0,0.0,,0.0,0.0,0.0,0.471326164874552,0.0,0.0,0.0,0.9323308270676691,9,0.7166666666666667,0.0,0.0,0.0,0.9022556390977443,13,0.7102564102564103,0.0,0.0,0.0,0.9774436090225563,3,0.1921875,0.0,0.0,0.0,0.9624060150375939,5,,16,0.0,1e-05,2
0.8903718459495352,0.0,0.0,0.0,0.879478994347946,0.0,0.0,0.0,0.8914218017645437,0.0,0.0,0.0,,0.0,0.0,0.0,0.7921146953405018,0.0,0.0,0.0,0.9323308270676691,9,0.9948717948717948,0.0,0.0,0.0,0.9022556390977443,13,0.9871794871794872,0.0,0.0,0.0,0.9774436090225563,3,0.74375,0.0,0.0,0.0,0.9624060150375939,5,,16,0.0,1e-05,3
0.8579681274900397,0.0,0.0,0.0,0.8778428280948442,0.0,0.0,0.0,0.9041165219189413,0.0,0.0,0.0,,0.0,0.0,0.0,0.8378136200716845,0.0,0.0,0.0,0.9323308270676691,9,1.0,0.0,0.0,0.0,0.9022556390977443,13,0.8923076923076922,0.0,0.0,0.0,0.9774436090225563,3,0.78125,0.0,0.0,0.0,0.9624060150375939,5,,16,0.0,1e-05,4
0.949867197875166,0.45000000000000007,0.9,0.3,0.9566427789840087,0.3416666666666667,0.41666666666666663,0.30128205128205127,0.9606476168320927,0.37000000000000005,0.5,0.3,,0.06516290726817042,0.06766917293233082,0.06390977443609022,0.9318996415770608,0.0,0.0,0.0,0.9323308270676691,9,0.9807692307692308,1.0,0.5384615384615384,0.7000000000000001,0.9548872180451128,13,0.9435897435897436,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9849624060150376,3,0.9703125,0.0,0.0,0.0,0.9624060150375939,5,,16,0.0,5e-05,2
0.9727755644090306,0.6938775510204083,0.8947368421052632,0.5666666666666667,0.9770315300179211,0.5446428571428571,0.7166666666666667,0.4833333333333333,0.973661126619796,0.5773809523809523,0.6422222222222221,0.5666666666666667,,0.11278195488721802,0.12781954887218044,0.10651629072681704,0.921146953405018,0.0,0.0,0.0,0.9323308270676691,9,0.9967948717948717,0.8666666666666667,1.0,0.9285714285714286,0.9849624060150376,13,0.9948717948717949,1.0,0.3333333333333333,0.5,0.9849624060150376,3,0.9953125,1.0,0.6,0.7499999999999999,0.9849624060150376,5,,16,0.0,5e-05,3
0.9658034528552456,0.7200000000000001,0.9,0.6,0.9815308795147505,0.6312021312021312,0.8974358974358975,0.5529914529914529,0.9790336366142818,0.670995670995671,0.9333333333333333,0.6,,0.12656641604010024,0.13533834586466165,0.12280701754385964,0.9363799283154122,1.0,0.2222222222222222,0.3636363636363636,0.9473684210526315,9,0.9974358974358973,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9849624060150376,13,0.9923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9849624060150376,3,1.0,1.0,0.4,0.5714285714285715,0.9774436090225563,5,,16,0.0,5e-05,4
0.36752988047808766,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,1e-05,2
0.36752988047808766,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,1e-05,3
0.349867197875166,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,1e-05,4
0.349867197875166,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,5e-05,2
